index,id,nickname,title,finishYn,ageGrade,restYn,dateCreated,isNew,averageScore,artist,latest_upload,last_chapter,img_url,intro,genres,categories
197,1464,dieontue,화요일에 죽는 남자,Y,0,N,20180426102236,0,9.7972027972028,바른/바른,20180515114037,49.0,http://t1.daumcdn.net/webtoon/op/499f967ba18693f5a63445c69a4d6228b2a10a64,모두 죽어버린 도시에서 죽고 싶었던 남자가 살아남아 벌어지는 미스터리,드라마,죽음/도시/삶/운명/스토리
198,1251,changedman,[PC개편특집] 달라진 그녀석,Y,0,N,20151020163945,0,9.7962962962963,DAUM WEBTOON/DAUM WEBTOON,20151023000100,3.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5625EF8F0220DB0002,몰라보게 변한 '그녀석'의 숨은 매력을 파헤쳐보자!,코믹,정보/노하우/매력/에피소드
199,1075,eroro,조난! 에로로,Y,0,N,20140303093440,0,9.79626604434072,라라시스터/라라시스터,20151026000100,78.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5548C7460566720002,때로는 당황스럽게 때로는 흥분되게 영원히 곁에 있어줄 저돌적인 그가 옵니다.,코믹,조난/서바이벌/로봇/비밀/스토리
200,1028,breakup,부탁해요 이별귀,Y,0,Y,20131107171157,0,9.79430322696953,하나/동남,20160724000100,85.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55493DC40369790001,연인들의 이별을 관장하는 귀신들의 특별한 커플 브레이킹! 과연 성공할 수 있을까?,판타지,연애/귀신/이별
201,1254,getoutcancer,꺼져줄래 종양군!,Y,0,N,20151118134810,0,9.79402985074627,슁둔/슁둔,20160422000100,23.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/564C02D5020B7F0001,"촉망받는 신인 만화 작가 슁둔, 종양군을 만나다.",드라마,질병/작가/죽음/힐링
202,694,loveqpit,순정큐피트,Y,0,N,20110328131311,0,9.79327117957033,오곡/오곡,20120319095244,43.0,http://t1.daumcdn.net/webtoon/op/d96a44c3314e733f560059ae2d7d9e15c0bd5135,"누구나 필요한 것, 누구나 가슴 속에 품고 있는 그것!",순정,사랑/신/큐피트/신화/옴니버스
203,1524,yourbeautiful,너는 아름답다,Y,0,N,20180813102148,0,9.79310344827586,차도지/차도지,20180821101003,4.0,http://t1.daumcdn.net/webtoon/op/3ba2f36e0d75267d8f9f6f91b2ca942475bd5d9a,"형의 선배와 동거하게 된 수진. 그녀에게 호감을 느끼지만, 절대 자신과 이뤄질 수가 없는 사람이었는데...",드라마,동거/대학생/작가/첫사랑/스토리
204,1256,maybelove,"어쩌면, 사랑",Y,0,N,20151127141735,0,9.79151215492377,모우/모우,20161203000100,53.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5657E73C0274370001,"'사랑이란 뭘까?' 고민하는 고등학생 우영, 담임 선생님 석훈을 만나 찾아가는 감정의 정의",학원,사랑/짝사랑/고등학생/학교생활/스토리
205,1455,childrenprivate,내 자식의 사생활,Y,0,N,20180417153747,0,9.79058441558442,보름/보름,20180420101223,3.0,http://t1.daumcdn.net/webtoon/op/8d05b401e6cfa1fe0df072144687e0edd230caa8,지금껏 몰랐던 자식들의 사생활을 마주하게 된 부모들. 그들간의 고민과 갈등,드라마,가족/공감/아이들/엄마/스토리
206,1388,PetdogRule,애완견의 법칙,Y,0,N,20170919113613,0,9.78958333333333,도담/이현성,20170922101634,8.0,http://t1.daumcdn.net/webtoon/op/e427f3527d001d3e5b9076aeb93dd693403a10ba,"사랑에 치이고, 일에 치이고, 가족에게까지 치여 지친 태령에게 찾아온 애완견 같은 우준.",드라마,연애/매력/인연/스토리
