id,nickname,title,finishYn,ageGrade,restYn,dateCreated,isNew,averageScore,artist,latest_upload,last_chapter,img_url,intro,genres,categories
1041,goodrobot,로봇이 상냥해,Y,0,N,20131215094501,False,9.556159420289855,꿀오뎅/꿀오뎅,20141109093931,104,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C3122C02039A0001,"2085년 화성의 밤, 그녀를 지키려는자, 구하려는 자",판타지,로봇/연애/미래/화성/스토리
1228,eternallight,영원한 빛 1부,Y,19,N,20150715135506,False,9.553935860058308,이상록/이상록,20160114092506,27,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/561A2D4302586E0001,,,
1383,MiracleApp,기적의 앱스토어,Y,0,N,20170830163506,False,9.553571428571429,삼각설탕/정준,20170908104003,5,http://t1.daumcdn.net/webtoon/op/91aca8e64c362bf719d3c6110fe6ca0415873bd2,돈도 없고 빽도 없고 스펙도 없는 정지우. 이제 희망은 기적의 앱스토어뿐이다!,판타지,마법/가상현실/초능력/현실반영/스토리
1185,parody,채널뽁스,A,0,Y,20150203102224,False,9.550250288794762,뽁스/뽁스,20180513000000,116,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554745700423400001,"루리웹 공모전 당선작, 패러디의 진수를 보여주마!",코믹,리메이크/영화/병맛/풍자/에피소드
1311,EBICHU,에비츄,Y,0,N,20160720151029,False,9.549382716049383,EBICHU/EBICHU,20170403000100,37,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/578F1456064C200002,까망베르 치즈와 아이스크림을 좋아하는 에비츄의 소소한(?) 이야기,코믹,반려동물/동물/애교/에피소드
1289,Hyde,하이드,Y,0,N,20160503164824,False,9.549295774647888,이충호/이충호,20150224135125,7,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/57285758012DC20001,한 소녀의 죽음을 둘러싸고 벌어지는 두 인격의 대립. 과연 게임의 승자는 누가 될 것인가?,드라마,살인사건/연애/형사/학교생활/스토리
1487,DIVINE,신무월 : DIVINE,Y,0,N,20180615101708,False,9.545918367346939,Sandhill/Typhoon,20180805000000,8,http://t1.daumcdn.net/webtoon/op/34ba216d0d07e71eba5c97fead09187e6572f697,"숨겨진 그들의 슬프고 아름다운 과거, 그들이 만난 것은 필연일까 우연일까?",판타지,게임/격투/악마/천사/스토리
595,Defense,지구방위연구소,Y,0,N,20101006163034,False,9.539090909090909,니나노머신/니나노머신,20160529104723,76,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C045E4025FB70001,지구 수호의 임무를 띤 연구소에서 펼쳐지는 개그 퍼레이드! ,코믹,병맛/로봇/지구방위/옴니버스
61,nrr,NR 금형성형,Y,0,N,20080624100411,False,9.538461538461538,전상영/전상영,20081022013915,17,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1B09C06394C0001,미친도시 '트레이닝 더 소울' 에서 벌어지는 터프한 해결사들의 과격한 이야기!,판타지,파이터/해결사/스토리
851,olmang,올망동은 평화롭습니다,Y,0,N,20120412172927,False,9.535168195718654,니나노머신/니나노머신,20121003121111,26,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1CD56027FE10001,지구방위연구소의 악당 외전..개념찬 악당의 이상한 동네 적응기!,코믹,악당/병맛/지구방위/격투/스토리
844,huntedschool,헌티드 스쿨,Y,0,N,20120320082342,False,9.533333333333333,계란계란/계란계란,20130205094807,44,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1CC79061D700003,학원기이야담의 시초를 만나다..흥미진진 학교 괴담 사냥이 시작된다!,학원,괴담/학교생활/고등학생/귀신/스토리
974,fair,폐어,Y,0,N,20130624155626,False,9.53290529695024,최민호/최민호,20130808094612,16,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55472A9F01024C0003,"깊은 상처, 이대로 사랑해도 되는 걸까?",순정,연애/물고기/죽음/스토리
62,dejavu,데자뷰,Y,0,N,20080630135914,False,9.529069767441861,Hun/Hun,20080630142249,3,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1B18E02092E0001,Hun 작가의 첫번째 웹툰 도전 데자뷰! 감동을 원하는 독자들께 추천합니다,순정,천사/사신/감동/스토리
526,marionette,마리오네트,Y,0,N,20100628134043,False,9.529048207663783,우강식/우강식,20101215093421,25,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554C497E013EFD0003,어느 병원에서 자행되는 비밀 실험의 정체는? 공모전 우수상 수상작!,판타지,초능력/실험/스토리
1323,IOIT,"아이오, 아이티!",Y,0,N,20161018095204,False,9.523481527864746,네온비/네온비,20170104000100,12,http://t1.daumcdn.net/cartoon/580570C20242C60001,"천재 과학자 K가 개발한 캐릭터 아이오, 아이티!K는 소원대로 이 캐릭터들을 이용해 부자가 될 수 있을까?!",코믹,과학기술/정보/천재/교육/스토리
60,estancia2,에스탄시아2,Y,0,N,20080620100014,False,9.52155172413793,팀 풍경/팀 풍경,20080712193008,13,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1AEF70172C60001,"만화창작집단 풍경의 세번째 SF대작. '열차탈주극' 에스탄시아, 그 두번째 이야기!",판타지,복제인간/열차/음모/미래/스토리
535,school_horror,학원기이야담,Y,0,N,20100718091636,False,9.520018621973929,계란계란/계란계란,20110928092834,56,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554C493002541B0002,기이하고 익숙한 학원괴담을 엉뚱하게 비틀어버린다. 계란계란작가의 특별한 호러만화,코믹,괴담/학교생활/귀신/스토리
82,des,12월 ,Y,0,N,20090219153837,False,9.515748031496063,송래현/강소소,20090805094221,23,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/56249BA802067F0001,송래현 작가의 '12월' 전작보다 더 가슴아픈 사랑의 이야기가 펼쳐집니다,판타지,연애/감동/이별/스토리
1412,bambooforest,대나무숲,Y,0,N,20180104114156,False,9.514084507042254,고도슴/고도슴,20180105112911,45,http://t1.daumcdn.net/webtoon/op/6ee53edb7100f0aacc6b8e72a68bb9b33315c8b9,학과 대나무숲에 몰래카메라가 올라왔다.,스릴러,범죄/대학생/사회문제/스토리
