unique_id,title,author,total_score,main_link,image_link,update_date,genre,pay,total_like,intro,total_episodes,mean_score,total_comments,mean_like
26101,와탕카2,우주인,8.97,https://comic.naver.com/webtoon/list.nhn?titleId=26101,https://shared-comic.pstatic.net/thumb/webtoon/26101/thumbnail/thumbnail_title_26101_83x90.gif,2008.11.27,episode/daily/comic,0,95,"우주인이 돌아왔다.
업그레이드 된 작화와 센스 있는 유머. 와탕카 시즌2 시작합니다",114,9.24,208571,4.78
70046,실질객관동화,무적핑크,9.9,https://comic.naver.com/webtoon/list.nhn?titleId=70046,https://shared-comic.pstatic.net/thumb/webtoon/70046/thumbnail/title_thumbnail_20090605171412_t83x90.jpg,2012.07.25,episode/comic,0,12183,"동화를 객관적인 시각에서 보면 어떻게 될까?
생소한 시각으로 동화 다시 보기",191,9.91,521723,865.46
563782,아랫집 시누이,김진,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=563782,https://shared-comic.pstatic.net/thumb/webtoon/563782/thumbnail/title_thumbnail_20130607184714_t83x90.jpg,2013.12.22,episode/daily,0,21648,"대를 물려 내려오는 고부갈등? 노노!
시월드, 이제는 무섭지 않아요!
 김진 작가 신작!",57,9.95,282631,4974.67
20853,마음의소리,조석,9.86,https://comic.naver.com/webtoon/list.nhn?titleId=20853,https://shared-comic.pstatic.net/thumb/webtoon/20853/thumbnail/thumbnail_title_20853_83x90.gif,2018.07.09,episode/daily/comic,0,1202418,"마사루의 센스를, 이나중의 황당함을 뛰어 넘는다! 솔직 담백 최강의 개그 만화 ! 여러분의 마음의 소리에 귀기울여 보세요!",1150,9.88,11492534,8401.68
26144,취업의소리,"조석,워니",9.15,https://comic.naver.com/webtoon/list.nhn?titleId=26144,https://shared-comic.pstatic.net/thumb/webtoon/26144/thumbnail/thumbnail_title_26144_83x90.gif,2008.06.24,episode/daily/comic,0,83,"조석,wony(박종원) 2인의 작가들이 펼치는,팍팍!! 막힘 없이 뚫리는 취업이야기.
웃음은 크게~ 청년 취업 고민은 쏘옥",8,9.16,18912,19.25
55169,나이스진타임,김진,9.85,https://comic.naver.com/webtoon/list.nhn?titleId=55169,https://shared-comic.pstatic.net/thumb/webtoon/55169/thumbnail/title_thumbnail_20091106193634_t83x90.jpg,2010.09.30,episode/daily/comic,0,16026,"기름기를 쏙 뺀 저지방 저칼로리 만화를지향하는 그녀는 나이스 진~
오늘도 나이스진과 함께 행복한 하루를~",181,9.86,426939,1983.36
52946,스쿨홀릭,신의철,9.89,https://comic.naver.com/webtoon/list.nhn?titleId=52946,https://shared-comic.pstatic.net/thumb/webtoon/52946/thumbnail/title_thumbnail_20110930124525_t83x90.jpg,2009.10.31,episode/daily/comic,1,9100,신선생과 학생들이 함께 울고 웃는대한민국 학교의 유쾌한 일상! 다함께 에 중독되어 봅시다!,110,9.91,271198,696.29
710751,약한영웅,서패스/김진석,9.76,https://comic.naver.com/webtoon/list.nhn?titleId=710751,https://shared-comic.pstatic.net/thumb/webtoon/710751/thumbnail/thumbnail_IMAG10_ca8874a5-25e5-492b-b1f3-ba4a52c2f3bf.jpg,2018.09.01,episode/action,0,84156,"선천적으로 약한 소년이두뇌와 도구, 심리를 이용하여 싸운다.",18,9.8,38838,11470.11
651664,밥 먹고 갈래요?,오묘,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=651664,https://shared-comic.pstatic.net/thumb/webtoon/651664/thumbnail/title_thumbnail_20150326153630_t83x90.jpg,2018.08.30,episode/drama/sensibility,0,368747,"이리 뛰고 저리 뛰고 깨지고 구르고. 
지칠대로 지친 주중을 보내고 나면 찾아오는 주말 힐링 타임. 
오묘 작가의 컷툰 신작!",169,9.97,919416,18707.66
632342,오늘 밤은 어둠이 무서워요,김진,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=632342,https://shared-comic.pstatic.net/thumb/webtoon/632342/thumbnail/title_thumbnail_20140921225747_t83x90.jpg,2015.03.17,episode/daily,0,134648,"뜻하지 않은 시기, 어쩌다 시작된 김진의 독립생활.
그녀의 자취생활과 그녀의 연애 이야기.",52,9.95,244203,16166.48
